Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.07     0.00        2     0.00     0.00  realloc_gray_vals
  0.00      0.07     0.00        1     0.00     0.00  camlCamlinternalFormatBasics__entry
  0.00      0.07     0.00        1     0.00     0.00  camlCamlinternalFormat__bprint_fconv_flag_491
  0.00      0.07     0.00        1     0.00     0.00  camlCamlinternalFormat__buffer_add_string_369
  0.00      0.07     0.00        1     0.00     0.00  camlCamlinternalFormat__buffer_create_357
  0.00      0.07     0.00        1     0.00     0.00  camlCamlinternalFormat__char_of_fconv_377
  0.00      0.07     0.00        1     0.00     0.00  camlCamlinternalFormat__convert_float_3203
  0.00      0.07     0.00        1     0.00     0.00  camlCamlinternalFormat__entry
  0.00      0.07     0.00        1     0.00     0.00  camlCamlinternalFormat__format_of_fconv_3171
  0.00      0.07     0.00        1     0.00     0.00  camlCamlinternalFormat__fun_6279
  0.00      0.07     0.00        1     0.00     0.00  camlCamlinternalFormat__make_float_padding_precision_3227
  0.00      0.07     0.00        1     0.00     0.00  camlCamlinternalFormat__output_acc_4071
  0.00      0.07     0.00        1     0.00     0.00  camlCamlinternalLazy__entry
  0.00      0.07     0.00        1     0.00     0.00  camlCamlinternalLazy__force_lazy_block_153
  0.00      0.07     0.00        1     0.00     0.00  camlCamlinternalMod__entry
  0.00      0.07     0.00        1     0.00     0.00  camlCamlinternalMod__update_mod_227
  0.00      0.07     0.00        1     0.00     0.00  camlCamlinternalOO__entry
  0.00      0.07     0.00        1     0.00    12.94  camlDune__exe__Single_coin__entry
  0.00      0.07     0.00        1     0.00     0.00  camlDune__exe__Single_coin__fun_1890
  0.00      0.07     0.00        1     0.00     0.00  camlDune__exe__Single_coin__toss_827
  0.00      0.07     0.00        1     0.00     0.00  camlPpl__Common__entry
  0.00      0.07     0.00        1     0.00     0.00  camlPpl__Common__normalise_4511
  0.00      0.07     0.00        1     0.00     0.00  camlPpl__Common__unduplicate_939
  0.00      0.07     0.00        1     0.00     0.00  camlPpl__Dist__continuous_uniform_501
  0.00      0.07     0.00        1     0.00     0.00  camlPpl__Dist__entry
  0.00      0.07     0.00        1     0.00     0.00  camlPpl__Dist__prior1_613
  0.00      0.07     0.00        1     0.00     0.00  camlPpl__Enum__entry
  0.00      0.07     0.00        1     0.00     0.00  camlPpl__Enum__exact_inference_3795
  0.00      0.07     0.00        1     0.00     0.00  camlPpl__Helpers__entry
  0.00      0.07     0.00        1     0.00    12.94  camlPpl__Helpers__loop_675
  0.00      0.07     0.00        1     0.00    12.94  camlPpl__Helpers__sample_mean_inner_8635
  0.00      0.07     0.00        1     0.00     0.00  camlPpl__Importance__entry
  0.00      0.07     0.00        1     0.00     0.00  camlPpl__Inference__entry
  0.00      0.07     0.00        1     0.00     0.00  camlPpl__Mh__entry
  0.00      0.07     0.00        1     0.00     0.00  camlPpl__Mh__mh$27_3700
  0.00      0.07     0.00        1     0.00     0.00  camlPpl__Mh__mh_937
  0.00      0.07     0.00        1     0.00     0.00  camlPpl__Monad__entry
  0.00      0.07     0.00        1     0.00     0.00  camlPpl__Pc__entry
  0.00      0.07     0.00        1     0.00     0.00  camlPpl__Primitive_dists__continuous_uniform_1602
  0.00      0.07     0.00        1     0.00     0.00  camlPpl__Primitive_dists__entry
  0.00      0.07     0.00        1     0.00     0.00  camlPpl__Samples__entry
